result,cleaned
-1,"ตำราคุณปู่ ได้กล่าวไว้

ไม่เชื่อ ต้องตามดู"
-1,หรั่งเล่นงี้มาหลายรอบแล้ว อัดตอน ATO เนี่ย
1,ปู่ชอบเล่นรถไฟเหาะครับ ลากขึ้นไปสูงๆก่อน รอเม่านั่งพร้อมก็ แหมตื่นเต้น
-1,"เปิดโดด ขึ้นมาแบบนี้

กด S กินตับฟรีอีกแล้ว ตับ ตับ ตับบบ"
1,GapWave 5
1,รอให้ลากต่อไม่ไหวแล้ว ล็อกกำไรไว้ก่อนดีกว่า
1,เมื่อเช้าไม่ได้ติดตามข่าว มีข่าวดีอะไรหรือเปล่าครับ บวกเยอะเชียว
1,ฟิสปรับเอ้าลุคไทยขึ้นมั้งครับ หรั่งรักไทยหลงไทยมากขึ้น
-1,"เปนไปตามพี่คิดไหม
 จุก"
1,"เดี๋ยวกองก็ขาย

เชื่อดิ"
-1,เปิด gap แบบ งงๆ
-1,"เรื่องมีอยู่ว่า จ่ายเงินค่าอินเตอร์เน็ตของเดือนเมษายน โดยหักผ่านเครดิตของ AMEX ยอดเงิน บาทในเดือน พค
แต่ AIS โทรมาแจ้งว่าไม่ได้รับยอดนี้ เราก็โทรไปตามที่ AMEX ทางบัตรเค้าก็แจ้งว่า ยอดนี้หักให้ AIS เรียบร้อยแล้ว
เราก็โทรถาม AISอีก โทรไปหลายรอบมากและหลายคนมาก ก็ไม่ได้คำตอบอะไร จะไปขอเงินคืนทาง AMEX เค้าก็ไม่ให้
โดยบัตรก็แจ้งอีกว่าก็จ่ายให้ไปแล้ว ให้ไปตามกับ AIS ตามมาจนถึงปัจจุบัน AIS ก็ไม่รับผิดชอบตามหายอดที่ว่า สิ่งที่ทำได้คือต้องจ่ายยอดนี้ซ้ำอีกรอบ
คือไรอ่า ก็จ่ายไปแล้วจะให้จ่ายซ้ำจ่ายซากอะไรอีก จะจ่ายของเดือน พคปัจจุบันก็ไม่ได้อีก เพราะต้องไปจ่ายยอดซ้ำของเดือนเมษา ซึ่งจ่ายไปแล้ว สุดท้ายอินเตอร์เน็ตถูกตัด ทำงานไม่ได้ ใครจะต้องรับผิดชอบเรื่องนี้ หรือถ้าจะยกเลิกไปใช้เจ้าอื่น ก็ต้องจ่ายซ้ำอยู่ดี ซวยจริงๆ"
1,"สวัสดีครับสมาร์ทปฐวียินดีที่ได้ดูแลคุณ Vickims ครับ
ไม่ต้องเป็นกังวลเบื้องต้นได้ขอข้อมูลไปทางหลังไมค์แล้วนะครับ หากทราบข้อมูลจะดำเนินการตรวจสอบให้ทันทีครับ
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา  น"
1,"ปกติครับ

AWN ให้บริการทั้ง Fibre และ "
1,รายการเขียนว่า AIS อันนี้ปรกติหรือเปล่า
1,"าท หัก VAT จะเหลือยอดแพ็คเกจ าท

แต่ที่สำคัญคือระบบ Fiber จะเรียกเก็บค่าใช้จ่ายล่วงหน้า ซึ่งจะต่างจากบริการอื่นๆที่จะเรียกเก็บค่าใช้จ่ายย้อนหลัง เพราะระบบ Fiber จะเป็นค่าใช้จ่ายคงที่ ซึ่งต่างกับค่าใช้จ่ายอื่นๆที่จะมีค่าใช้จ่ายส่วนเกินหรือค่าใช้จ่ายตามปริมาณการใช้งาน
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา  น"
1,"ปกตินะคะ แต่รายการของเราจ่ายผ่าน My AIS

ใน Statement จะใช้คำว่า AIS  PostpaidEService"
-1,"ไม่แน่ว่าตัดยอดบัญชีผิดคนหรือเปล่าเลยทำให้ไม่มีข้อมูล
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา  น"
1,"ไปที่ช๊อปครับ

และให้เจ้าหน้าที่ reprint ใบเสร็จและใบแจ้งค่าบริการมาเทียบกัน ว่าใบเสร็จนี้บแจ่ายให้กับใบแจ้งไหน เพราะในใบเสร็จจะระบุเลขที่ใบแจ้งไปในนั้นด้วย ตามไม่ยากครับ

เบื้องต้นถ้าจะใช้บริการ ก็จ่ายเข้าไปก่อนครับ
ถ้าเจ้าหน้าที่เจอยอดแล้ว ระบบจะ adjust เป็นยอด advanced เข้าไปใน account ให้ครับ"
-1,"ทำไมถึงไม่สงสัย AMEX และทำไมไม่ให้ AMEX ตามครับ
ถ้าเหตุการณ์ แบบนี้เกิดกับผม ผมจะไปไล่กับ AMEX เลยครับ

คุณคนหักเงิน คุณบอกว่าส่งไปแล้ว แต่ไมถึง จะโทษใครละ
AMEX จะบอกว่า ชั้นไม่เกี่ยว ชั้นส่งไปแล้ว ไปตามเอง ไม่น่จะใช่นะ AMEX นี่บริการเยี่ยมยอดเลย"
1,"จะสั่งสินค้าแต่ราคาเป็นสกุลเยน
ถ้าจ่ายผ่าน paypal จะแปลงค่าเงินให้เองไหม

หรือท่านใดเคยซื้อก็คำแนะนำหน่อยครับ"
1,ระบบจะแปลงให้เองค่ะ
1,"ขอบคุณครับ

ถ้าสมมุติราคา เยน
เลือกจ่ายด้วย PayPal
ทางระบบคำนวณค่าเงินบาทให้เท่ากับค่าเงินเยน  ถูกต้องไหมครับ

ปล คนที่รู้จักห่างๆเห็นเขาสั่งบ่อย
ทั้งๆที่ไม่รู้ภาษา  ตรงส่วนนี้ยังเปลี่ยนภาษาได้ ถามเขาก็ไม่บอก จะเอาก็ฝากสั่งคือง่ายๆจะคิดค่าสั่งนะครับ

ขอบคุณล่วงหน้าครับ"
