comment,result,preprocessed
"ตำราคุณปู่ ได้กล่าวไว้

ไม่เชื่อ ต้องตามดู",-1,"ตำรา,คุณปู่,ไม่เชื่อ,ต้องตา,ดู"
หรั่งเล่นงี้มาหลายรอบแล้ว อัดตอน ATO เนี่ย,-1,"หรั่ง,เล่น,งี้,รอบ,อัด,ตอน,ATO"
ปู่ชอบเล่นรถไฟเหาะครับ ลากขึ้นไปสูงๆก่อน รอเม่านั่งพร้อมก็.... แหมตื่นเต้น,1,"ปู่,ชอบ,เล่น,รถไฟ,เหาะ,ลาก,รอ,เม่า,นั่ง,แหม,ตื่นเต้น"
"เปิดโดด ขึ้นมาแบบนี้

กด S กินตับฟรีอีกแล้ว ตับ ตับ ตับบบ",-1,"โดด,กด,กิน,ตับ,ฟรี,ตับ,ตับ,ตับ"
Gap...Wave 5  ^^,1,"GapWave,5"
รอให้ลากต่อไม่ไหวแล้ว ล็อกกำไรไว้ก่อนดีกว่า,1,"รอ,ลาก,ไม่ไหว,ล็อก,กำไร"
เมื่อเช้าไม่ได้ติดตามข่าว มีข่าวดีอะไรหรือเปล่าครับ? บวกเยอะเชียว,1,"เชื่องช้า,ติดตาม,ข่าว,ข่าว,บวก,เชียว"
ฟิสปรับเอ้าลุคไทยขึ้นมั้งครับ หรั่งรักไทยหลงไทยมากขึ้น,1,"ฟิส,เอ้า,ลุค,ไทย,มั้ง,หรั่ง,รัก,ไทยหลง,ไทย,มือขึ้น"
"เปนไปตามพี่คิดไหม
-30 จุก",-1,"เปน,พี่,ไหม,จุก"
"เดี๋ยวกองก็ขาย

เชื่อดิ",1,"เดี๋ยว,กอง,ขาย,ดิ"
เปิด gap แบบ งงๆ,-1,gap
"เรื่องมีอยู่ว่า จ่ายเงินค่าอินเตอร์เน็ตของเดือนเมษายน โดยหักผ่านเครดิตของ AMEX ยอดเงิน 747.93 บาทในเดือน พ.ค.
แต่ AIS โทรมาแจ้งว่าไม่ได้รับยอดนี้ เราก็โทรไปตามที่ AMEX ทางบัตรเค้าก็แจ้งว่า ยอดนี้หักให้ AIS เรียบร้อยแล้ว
เราก็โทรถาม AISอีก โทรไปหลายรอบมากและหลายคนมาก ก็ไม่ได้คำตอบอะไร จะไปขอเงินคืนทาง AMEX เค้าก็ไม่ให้
โดยบัตรก็แจ้งอีกว่าก็จ่ายให้ไปแล้ว ให้ไปตามกับ AIS ตามมาจนถึงปัจจุบัน AIS ก็ไม่รับผิดชอบตามหายอดที่ว่า สิ่งที่ทำได้คือต้องจ่ายยอดนี้ซ้ำอีกรอบ
คือไรอ่า ก็จ่ายไปแล้วจะให้จ่ายซ้ำจ่ายซากอะไรอีก จะจ่ายของเดือน พค.-ปัจจุบันก็ไม่ได้อีก เพราะต้องไปจ่ายยอดซ้ำของเดือนเมษา (ซึ่งจ่ายไปแล้ว) สุดท้ายอินเตอร์เน็ตถูกตัด ทำงานไม่ได้ ใครจะต้องรับผิดชอบเรื่องนี้? หรือถ้าจะยกเลิกไปใช้เจ้าอื่น ก็ต้องจ่ายซ้ำอยู่ดี ซวยจริงๆ",-1,"เรื่อง,จ่าย,เงิน,ค่า,อินเทอร์เน็ต,เดือน,เมษายน,หัก,เครดิต,AMEX,ถอนเงิน,บาท,เดือน,พค,AIS,โทร,แจ้ง,ว่าไม่ได้,ยอด,นี้,โทร,ตามที,AMEX,บัตร,เค้า,แจ้ง,ยอด,นี้,หัก,AIS,เรียบร้อย,โทร,ถาม,AIS,โทร,รอบ,คน,คำตอบ,เงิน,คืน,AMEX,เค้า,บัตร,แจ้ง,อี,จ่าย,AIS,ตามมี,AIS,ไม่รับผิดชอบ,ยอด,จ่าย,ยอด,นี้,ซ้ำ,อี,กรอบ,อ่า,จ่าย,แล้,วจะ,จ่าย,ซ้ำ,จ่าย,ซาก,จ่าย,เดือน,พค,จ่าย,ยอด,ซ้ำ,เดือน,เมา,จ่าย,สุดท้าย,อินเทอร์เน็ต,ตัด,ทำงาน,รับผิดชอบ,เรื่อง,นี้,ยกเลิก,เจ้า,จ่าย,ซ้ำ,ซวย"
"สวัสดีครับสมาร์ท-ปฐวียินดีที่ได้ดูแลคุณ Vicki_ms ครับ
ไม่ต้องเป็นกังวลเบื้องต้นได้ขอข้อมูลไปทางหลังไมค์แล้วนะครับ หากทราบข้อมูลจะดำเนินการตรวจสอบให้ทันทีครับ
แก้ไขข้อความเมื่อ 19 กรกฎาคม เวลา 10:30 น.",1,"สวัสดี,สมาร์ท,ปฐวี,ยินดี,ดูแล,Vickims,มะต้อง,เป็นกังวล,เบื้องต้น,ข้อมูล,ไมค์,ทราบ,ข้อมูล,ดำเนินการ,ตรวจสอบ,ข้อความ,กรกฎาคม,เวลา"
"ปกติครับ

AWN ให้บริการทั้ง Fibre และ 3G/4G",1,"ปกติ,AWN,ให้บริการ,Fibre"
รายการเขียนว่า AIS3G อันนี้ปรกติหรือเปล่า,1,"ภาพเขียน,AIS,ปรกติ"
